total 27783944
 497240 APLUWCOVISMBSONAR001_20120401T000042.191Z-IMAGING.tar.gz
3194064 APLUWCOVISMBSONAR001_20120401T000952.221Z-DOPPLER.tar.gz
   3124 APLUWCOVISMBSONAR001_20120401T004720.076Z-DIFFUSE.tar.gz
 507968 APLUWCOVISMBSONAR001_20120401T030041.027Z-IMAGING.tar.gz
3189640 APLUWCOVISMBSONAR001_20120401T030958.766Z-DOPPLER.tar.gz
   3132 APLUWCOVISMBSONAR001_20120401T034727.647Z-DIFFUSE.tar.gz
 491032 APLUWCOVISMBSONAR001_20120401T060039.224Z-IMAGING.tar.gz
1539624 APLUWCOVISMBSONAR001_20120401T061005.867Z-DOPPLER.tar.gz
   3076 APLUWCOVISMBSONAR001_20120401T063122.045Z-DIFFUSE.tar.gz
 495200 APLUWCOVISMBSONAR001_20120401T090040.249Z-IMAGING.tar.gz
3203864 APLUWCOVISMBSONAR001_20120401T090914.466Z-DOPPLER.tar.gz
   3092 APLUWCOVISMBSONAR001_20120401T094646.018Z-DIFFUSE.tar.gz
 507452 APLUWCOVISMBSONAR001_20120401T120039.062Z-IMAGING.tar.gz
3218064 APLUWCOVISMBSONAR001_20120401T121001.449Z-DOPPLER.tar.gz
   3104 APLUWCOVISMBSONAR001_20120401T124747.207Z-DIFFUSE.tar.gz
 489712 APLUWCOVISMBSONAR001_20120401T150042.980Z-IMAGING.tar.gz
3160760 APLUWCOVISMBSONAR001_20120401T151007.300Z-DOPPLER.tar.gz
   3092 APLUWCOVISMBSONAR001_20120401T155139.127Z-DIFFUSE.tar.gz
 488164 APLUWCOVISMBSONAR001_20120401T180042.337Z-IMAGING.tar.gz
3120936 APLUWCOVISMBSONAR001_20120401T181012.039Z-DOPPLER.tar.gz
   3092 APLUWCOVISMBSONAR001_20120401T184830.333Z-DIFFUSE.tar.gz
 500480 APLUWCOVISMBSONAR001_20120401T210042.893Z-IMAGING.tar.gz
3154972 APLUWCOVISMBSONAR001_20120401T210919.187Z-DOPPLER.tar.gz
   3060 APLUWCOVISMBSONAR001_20120401T214655.609Z-DIFFUSE.tar.gz
